Processador_1
c02;0;30
c01;30;50
b05;50;65
b04;65;79
b03;79;92
b02;92;104
b01;104;115
a06;115;125
a22;125;135
a21;135;144
a08;144;152
a19;152;160
a09;160;167
a29;167;174
a05;174;179
a16;179;184
a26;184;188
a18;188;191
a02;191;193
a13;193;195
a30;195;197
a27;197;198

Processador_2
c04;0;28
c03;28;50
b10;50;65
b07;65;79
b06;79;92
b08;92;104
b09;104;115
a11;115;125
a07;125;134
a12;134;143
a28;143;152
a25;152;160
a23;160;167
a10;167;173
a17;173;179
a04;179;183
a15;183;187
a03;187;190
a24;190;193
a20;193;195
a01;195;196
a14;196;197
